DATE,DPROPANEMBTX
1/4/2016,0.398
1/5/2016,0.393
1/6/2016,0.365
1/7/2016,0.355
1/8/2016,0.343
1/11/2016,0.328
1/12/2016,0.326
1/13/2016,0.333
1/14/2016,0.328
1/15/2016,0.296
1/18/2016,.
1/19/2016,0.3
1/20/2016,0.301
1/21/2016,0.309
1/22/2016,0.335
1/25/2016,0.32
1/26/2016,0.316
1/27/2016,0.316
1/28/2016,0.349
1/29/2016,0.349
2/1/2016,0.345
2/2/2016,0.333
2/3/2016,0.36
2/4/2016,0.361
2/5/2016,0.365
2/8/2016,0.365
2/9/2016,0.354
2/10/2016,0.364
2/11/2016,0.348
2/12/2016,0.371
2/15/2016,.
2/16/2016,0.361
2/17/2016,0.375
2/18/2016,0.38
2/19/2016,0.38
2/22/2016,0.391
2/23/2016,0.388
2/24/2016,0.403
2/25/2016,0.41
2/26/2016,0.419
2/29/2016,0.425
3/1/2016,0.429
3/2/2016,0.43
3/3/2016,0.433
3/4/2016,0.45
3/7/2016,0.476
3/8/2016,0.465
3/9/2016,0.478
3/10/2016,0.472
3/11/2016,0.475
3/14/2016,0.458
3/15/2016,0.448
3/16/2016,0.461
3/17/2016,0.47
3/18/2016,0.46
3/21/2016,0.461
3/22/2016,0.456
3/23/2016,0.45
3/24/2016,0.445
3/25/2016,.
3/28/2016,0.439
3/29/2016,0.431
3/30/2016,0.435
3/31/2016,0.439
4/1/2016,0.435
4/4/2016,0.428
4/5/2016,0.425
4/6/2016,0.43
4/7/2016,0.428
4/8/2016,0.443
4/11/2016,0.448
4/12/2016,0.463
4/13/2016,0.454
4/14/2016,0.455
4/15/2016,0.453
4/18/2016,0.445
4/19/2016,0.451
4/20/2016,0.461
4/21/2016,0.463
4/22/2016,0.472
4/25/2016,0.47
4/26/2016,0.483
4/27/2016,0.495
4/28/2016,0.498
4/29/2016,0.498
5/2/2016,0.493
5/3/2016,0.489
5/4/2016,0.488
5/5/2016,0.489
5/6/2016,0.488
5/9/2016,0.469
5/10/2016,0.484
5/11/2016,0.513
5/12/2016,0.528
5/13/2016,0.523
5/16/2016,0.56
5/17/2016,0.561
5/18/2016,0.555
5/19/2016,0.541
5/20/2016,0.523
5/23/2016,0.508
5/24/2016,0.512
5/25/2016,0.527
5/26/2016,0.537
5/27/2016,0.527
5/30/2016,.
5/31/2016,0.52
6/1/2016,0.506
6/2/2016,0.496
6/3/2016,0.486
6/6/2016,0.488
6/7/2016,0.494
6/8/2016,0.514
6/9/2016,0.511
6/10/2016,0.495
6/13/2016,0.481
6/14/2016,0.484
6/15/2016,0.495
6/16/2016,0.484
6/17/2016,0.493
6/20/2016,0.511
6/21/2016,0.529
6/22/2016,0.519
6/23/2016,0.535
6/24/2016,0.524
6/27/2016,0.518
6/28/2016,0.533
6/29/2016,0.543
6/30/2016,0.52
7/1/2016,0.509
7/4/2016,.
7/5/2016,0.493
7/6/2016,0.494
7/7/2016,0.488
7/8/2016,0.494
7/11/2016,0.495
7/12/2016,0.508
7/13/2016,0.49
7/14/2016,0.494
7/15/2016,0.483
7/18/2016,0.48
7/19/2016,0.478
7/20/2016,0.482
7/21/2016,0.478
7/22/2016,0.473
7/25/2016,0.466
7/26/2016,0.458
7/27/2016,0.435
7/28/2016,0.423
7/29/2016,0.423
8/1/2016,0.428
8/2/2016,0.423
8/3/2016,0.438
8/4/2016,0.428
8/5/2016,0.433
8/8/2016,0.443
8/9/2016,0.435
8/10/2016,0.416
8/11/2016,0.429
8/12/2016,0.446
8/15/2016,0.449
8/16/2016,0.451
8/17/2016,0.45
8/18/2016,0.461
8/19/2016,0.46
8/22/2016,0.455
8/23/2016,0.469
8/24/2016,0.465
8/25/2016,0.475
8/26/2016,0.478
8/29/2016,0.475
8/30/2016,0.471
8/31/2016,0.45
9/1/2016,0.436
9/2/2016,0.457
9/5/2016,.
9/6/2016,0.461
9/7/2016,0.47
9/8/2016,0.48
9/9/2016,0.486
9/12/2016,0.488
9/13/2016,0.478
9/14/2016,0.478
9/15/2016,0.498
9/16/2016,0.488
9/19/2016,0.504
9/20/2016,0.505
9/21/2016,0.524
9/22/2016,0.524
9/23/2016,0.525
9/26/2016,0.528
9/27/2016,0.51
9/28/2016,0.52
9/29/2016,0.535
9/30/2016,0.545
10/3/2016,0.55
10/4/2016,0.554
10/5/2016,0.554
10/6/2016,0.574
10/7/2016,0.575
10/10/2016,0.588
10/11/2016,0.58
10/12/2016,0.578
10/13/2016,0.583
10/14/2016,0.584
10/17/2016,0.531
10/18/2016,0.531
10/19/2016,0.605
10/20/2016,0.593
