Date,1 Yr. Rate,2 Yr. Rate,3 Yr. Rate,5 Yr. Rate,7 Yr. Rate,10 Yr. Rate,30 Yr. Rate
2016-01-19,0.694,0.94,1.109,1.392,1.628,1.886,2.325
2015-01-20,0.694,0.895,1.053,1.346,1.556,1.825,2.239
2016-01-21,0.703,0.863,1.024,1.305,1.544,1.802,2.281
2016-01-22,0.723,0.881,1.082,1.356,1.621,1.866,2.382
2016-01-25,0.723,0.881,1.063,1.328,1.585,1.827,2.28
2016-01-26,0.723,0.877,1.052,1.318,1.576,1.813,2.292
2016-01-27,0.723,0.881,1.057,1.326,1.582,1.827,2.304
2016-01-28,0.724,0.907,1.104,1.387,1.653,1.885,2.321
2016-01-29,0.739,0.886,1.017,1.332,1.583,1.823,2.308
2016-02-01,0.704,0.86,1.013,1.311,1.565,1.813,2.305
2016-02-02,0.704,0.844,0.97,1.279,1.511,1.773,2.252
2006-02-03,0.694,0.806,0.958,1.239,1.491,1.751,2.225
2016-02-04,0.691,0.79,0.946,1.24,1.507,1.779,2.277
2016-02-05,0.645,0.796,0.922,1.193,1.449,1.711,2.209
2016-02-08,0.696,0.822,0.941,1.22,1.469,1.746,2.238
2016-02-09,0.696,0.746,0.84,1.109,1.333,1.612,2.107
2016-02-10,0.685,0.852,0.935,1.178,1.391,1.656,2.162
2016-02-11,0.665,0.682,0.787,1.003,1.257,1.517,2.015
2016-02-12,0.634,0.725,0.889,1.144,1.338,1.603,2.098
2016-02-15,0.7,0.844,0.966,1.23,1.46,1.738,2.194
2016-02-16,0.7,0.84,0.971,1.237,1.479,1.754,2.231
2016-02-17,0.7,0.872,1.011,1.271,1.529,1.8,2.265
2016-02-18,0.69,0.772,0.903,1.167,1.401,1.657,2.164
2016-02-19,0.685,0.82,0.92,1.179,1.386,1.653,2.152
2016-02-22,0.69,0.848,0.966,1.202,1.423,1.667,2.15
2016-02-23,0.69,0.856,0.971,1.23,1.461,1.709,2.204
2016-02-24,0.701,0.749,0.859,1.071,1.28,1.53,2.042
2016-02-25,0.701,0.744,0.868,1.108,1.323,1.598,2.111
2016-02-26,0.686,0.778,0.863,1.079,1.293,1.536,2.064
2016-02-29,0.727,0.855,0.959,1.166,1.372,1.587,2.082
2016-03-01,0.727,0.826,0.905,1.126,1.334,1.567,2.068
2016-03-02,0.763,0.927,1.038,1.273,1.482,1.674,2.149
2016-03-03,0.727,0.869,0.993,1.246,1.442,1.648,2.124
2016-03-04,0.757,0.914,1.056,1.255,1.489,1.717,2.174
2016-03-07,0.772,0.94,1.101,1.347,1.545,1.774,2.213
2016-03-08,0.772,0.928,1.077,1.296,1.483,1.716,2.155
2016-03-09,0.782,0.934,1.077,1.293,1.496,1.73,2.173
2016-03-10,0.752,0.954,1.104,1.309,1.52,1.726,2.134
2016-03-11,0.782,0.987,1.134,1.356,1.539,1.731,2.156
2016-03-14,0.818,1.016,1.164,1.398,1.583,1.809,2.226
2016-03-15,0.818,1.0,1.145,1.37,1.547,1.776,2.192
2016-03-16,0.823,1.033,1.196,1.424,1.599,1.811,2.213
2016-03-17,0.772,0.905,1.047,1.272,1.494,1.722,2.179
2016-03-18,0.842,1.025,1.191,1.391,1.58,1.77,2.178
2016-03-21,0.746,0.926,1.072,1.288,1.504,1.737,2.208
2016-03-22,0.746,0.922,1.061,1.268,1.478,1.726,2.196
2016-03-23,0.771,0.955,1.087,1.32,1.528,1.748,2.188
2016-03-24,0.761,0.919,1.05,1.264,1.46,1.681,2.117
