Date,2 Yr Rate,3 Yr Rate,5 Yr Rate,7 Yr Rate,10 Yr Rate,20 Yr Rate,30 Yr Rate
2015-01-02,0.66,1.07,1.61,1.92,2.11,2.41,2.69
2015-01-05,0.66,1.06,1.57,1.85,2.04,2.32,2.61
2015-01-06,0.62,1.02,1.48,1.78,1.94,2.25,2.5
2015-01-07,0.61,1,1.48,1.76,1.97,2.25,2.53
2015-01-08,0.61,1,1.49,1.81,2.02,2.33,2.6
2015-01-09,0.56,0.96,1.42,1.75,1.95,2.29,2.53
2015-01-12,0.54,0.91,1.38,1.69,1.91,2.23,2.5
2015-01-13,0.54,0.88,1.37,1.67,1.9,2.24,2.5
2015-01-14,0.5,0.83,1.32,1.62,1.86,2.2,2.47
2015-01-15,0.41,0.75,1.16,1.53,1.71,2.12,2.37
2015-01-16,0.48,0.8,1.3,1.6,1.84,2.17,2.45
2015-01-20,0.49,0.85,1.29,1.61,1.79,2.15,2.38
2015-01-21,0.51,0.87,1.35,1.66,1.87,2.2,2.46
2015-01-22,0.52,0.9,1.36,1.69,1.86,2.21,2.44
2015-01-23,0.49,0.86,1.31,1.62,1.8,2.12,2.37
2015-01-26,0.51,0.89,1.34,1.64,1.82,2.14,2.4
2015-01-27,0.51,0.87,1.33,1.62,1.82,2.15,2.39
2015-01-28,0.47,0.81,1.25,1.53,1.72,2.05,2.29
2015-01-29,0.52,0.84,1.27,1.59,1.76,2.11,2.31
2015-01-30,0.45,0.77,1.15,1.49,1.64,2.04,2.22
2015-02-02,0.46,0.78,1.18,1.49,1.66,2.07,2.25
2015-02-03,0.51,0.85,1.29,1.6,1.79,2.16,2.38
2015-02-04,0.47,0.86,1.25,1.61,1.75,2.17,2.35
2015-02-05,0.52,0.87,1.3,1.62,1.82,2.2,2.43
2015-02-06,0.64,1.03,1.48,1.77,1.96,2.28,2.53
2015-02-09,0.64,1.04,1.48,1.78,1.94,2.28,2.5
2015-02-10,0.65,1.05,1.51,1.82,2,2.33,2.58
2015-02-11,0.66,1.06,1.54,1.83,2.02,2.33,2.59
2015-02-12,0.62,1.02,1.49,1.81,1.98,2.33,2.58
2015-02-13,0.64,1.03,1.54,1.84,2.05,2.39,2.65
2015-02-16,0.64,0,1.54,0.0,2.05,0.0,2.65
2015-02-17,0.66,1.1,1.61,1.95,2.14,2.49,2.73
2015-02-18,0.6,1,1.52,1.86,2.08,2.46,2.71
2015-02-19,0.63,1.05,1.58,1.92,2.12,2.5,2.74
2015-02-20,0.63,1.07,1.59,1.94,2.11,2.5,2.71
2015-02-23,0.61,1.03,1.55,1.88,2.07,2.44,2.67
2015-02-24,0.55,0.97,1.46,1.79,1.98,2.38,2.59
2015-02-25,0.61,0.98,1.47,1.78,1.96,2.35,2.56
2015-02-26,0.66,1.04,1.54,1.86,2.03,2.39,2.63
2015-02-27,0.64,1.01,1.5,1.82,2.03,2.38,2.62
2015-03-02,0.66,1.06,1.57,1.89,2.08,2.46,2.68
2015-03-03,0.68,1.09,1.6,1.94,2.12,2.49,2.71
2015-03-04,0.65,1.07,1.59,1.93,2.12,2.49,2.72
2015-03-05,0.64,1.05,1.57,1.9,2.12,2.49,2.73
2015-03-06,0.72,1.16,1.69,2.04,2.24,2.63,2.84
2015-03-09,0.69,1.13,1.65,1.99,2.19,2.58,2.8
2015-03-10,0.68,1.1,1.61,1.94,2.13,2.51,2.72
2015-03-11,0.68,1.09,1.6,1.92,2.11,2.47,2.69
2015-03-12,0.66,1.06,1.6,1.91,2.12,2.47,2.7
2015-03-13,0.66,1.07,1.58,1.93,2.11,2.48,2.7
2015-03-16,0.65,1.06,1.55,1.9,2.07,2.45,2.64
2015-03-17,0.67,1.07,1.55,1.87,2.05,2.4,2.6
2015-03-18,0.67,0.92,1.53,1.73,2.02,2.31,2.57
2015-03-19,0.61,0.99,1.46,1.79,1.96,2.33,2.54
2015-03-20,0.58,0.95,1.41,1.73,1.93,2.29,2.51
2015-03-23,0.57,0.93,1.39,1.71,1.91,2.29,2.51
2015-03-24,0.56,0.91,1.36,1.68,1.87,2.24,2.46
2015-03-25,0.6,0.94,1.41,1.73,1.93,2.28,2.51
2015-03-26,0.61,0.98,1.46,1.81,1.99,2.37,2.58
2015-03-27,0.59,0.92,1.44,1.74,1.96,2.29,2.54
2015-03-30,0.58,0.93,1.4,1.74,1.95,2.32,2.55
2015-03-31,0.56,0.89,1.37,1.71,1.92,2.31,2.54
2015-04-01,0.54,0.86,1.32,1.65,1.86,2.23,2.47
2015-04-02,0.54,0.87,1.35,1.69,1.91,2.29,2.53
2015-04-03,0.48,0.8,1.25,1.6,1.84,2.24,2.49
2015-04-06,0.5,0.83,1.3,1.67,1.9,2.31,2.55
2015-04-07,0.52,0.85,1.32,1.66,1.88,2.27,2.52
2015-04-08,0.53,0.86,1.35,1.68,1.9,2.28,2.53
2015-04-09,0.55,0.89,1.4,1.73,1.96,2.35,2.6
2015-04-10,0.56,0.91,1.39,1.73,1.95,2.33,2.58
2015-04-13,0.53,0.89,1.37,1.71,1.93,2.33,2.57
2015-04-14,0.51,0.85,1.34,1.67,1.9,2.29,2.54
